val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,12,9,14,13,23,10,0,1,10,1,9.30+-7.12
stop signs:,138,23,44,45,18,143,13,13,49,11,49.70+-49.96
