val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,num.10,mean+-std
pedestrians:,0,7,3,3,3,7,4,9,2,1,4,3.91+-2.74
stop signs:,0,22,14,13,28,19,24,15,13,19,21,17.09+-7.44
