val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,6,6,10,9,5,15,13,7,7,9,8.70+-3.23
stop signs:,15,19,16,23,20,16,27,17,23,22,19.80+-3.91
