val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,2,9,10,15,16,20,22,23,27,32,17.60+-9.03
stop signs:,18,35,55,73,94,115,137,158,175,195,105.50+-60.59
