val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,4,6,5,5,4,8,7,5,5,6,5.50+-1.27
stop signs:,8,5,6,8,8,6,7,7,7,8,7.00+-1.05
