val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,1,1,0,5,1,2,1,2,2,1,1.60+-1.35
stop signs:,26,19,30,25,18,23,24,26,17,15,22.30+-4.81
