val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,5,5,7,8,14,17,18,23,29,31,15.70+-9.65
stop signs:,19,38,55,72,90,108,130,149,166,186,101.30+-56.19
