val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,9,4,8,8,7,12,9,6,7,4,7.40+-2.41
stop signs:,15,10,32,15,13,18,21,14,16,16,17.00+-6.02
