val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,20,13,17,19,10,14,18,27,18,15,17.10+-4.63
stop signs:,19,21,21,23,24,23,27,17,24,19,21.80+-2.97
