val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,0,0,4,3,2,5,3,2,0,2,2.10+-1.73
stop signs:,153,162,55,58,60,53,57,24,158,54,83.40+-52.28
