val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,11,21,9,15,11,7,8,6,16,15,11.90+-4.75
stop signs:,22,30,29,32,28,24,27,23,25,23,26.30+-3.40
