val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,22,11,6,9,16,16,4,14,11,12,12.10+-5.24
stop signs:,17,20,27,22,22,21,29,23,25,25,23.10+-3.51
