val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,14,16,9,14,9,13,17,14,16,16,13.80+-2.82
stop signs:,18,29,24,25,19,22,18,22,24,27,22.80+-3.74
