val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,3,5,1,2,2,11,4,3,4,11,4.60+-3.57
stop signs:,11,13,13,15,16,19,6,12,7,18,13.00+-4.27
