val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,5,2,5,5,7,3,7,1,4,3,4.20+-1.99
stop signs:,20,11,13,8,9,10,12,12,8,11,11.40+-3.47
