val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,0,1,1,0,0,1,1,1,0,1,0.60+-0.52
stop signs:,10,5,9,14,6,8,9,6,8,6,8.10+-2.64
