val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,0,0,0,0,0,1,2,0,1,0,0.40+-0.70
stop signs:,4,6,4,10,6,6,9,4,7,4,6.00+-2.16
