Frame,Speed (m/s)
0,0.9800000786781311
1,1.470000147819519
2,1.8998506071987278
3,0.8367522077949254
4,0.30865292056373733
5,0.05738676898557004
6,0.049757758686216014
7,0.0851559465627172
8,0.08732282140042838
9,0.07607036616466586
10,0.42281098295896413
11,1.3169866940098653
12,1.9572141345194227
13,2.5215009253276914
14,2.9793984806320073
15,3.4018678719234683
16,3.7914090263002804
17,4.160622787216899
18,4.517661927045262
19,4.867551195415292
20,5.213321622376575
21,5.501264726574673
22,5.563566553047613
23,5.777868797224537
24,6.011195365241571
25,6.405717257646398
26,6.758897782440468
27,7.03116254573752
28,7.224666299626865
29,7.4293503207429765
30,7.471409744583699
31,7.4775975424598204
32,7.471415401437705
33,7.531516999823906
34,7.6228111521800495
35,7.828454447061116
36,8.054630676091593
37,8.366423653685802
38,8.673341630537722
39,9.044261835194625
40,9.405766123589967
41,9.812024017660574
42,10.164773655436194
43,10.382023637388976
44,10.381402252965428
45,10.258296642449567
46,10.023319566781234
47,9.782453196300745
48,9.5081606474286
49,9.30274979403187
50,9.052863295723167
51,8.874817674265651
52,8.611537647040132
53,8.359895535284696
54,8.045841577954791
55,7.783078475818279
56,7.488768518051054
57,7.290132921142105
58,7.009809781775649
59,6.771656772761055
60,6.449888801845492
61,5.651604498357868
62,4.314206836235065
63,2.968595763497629
64,1.6330340449781677
65,0.3159600086949849
66,0.0008813420927361654
67,0.0008471090922178088
68,0.0007520685608324391
69,0.0006377765908132061
70,0.000501763836386736
71,0.090855524745536
72,0.12498375725078499
73,0.38578222124319284
74,0.6817147584633485
75,0.9640433431339263
76,1.290859769499114
77,1.635835876920478
78,2.001138094677936
79,2.348995074509666
80,2.724286272746246
81,3.1159785710812447
82,3.498452358038866
83,3.859020250665675
84,4.214478772599132
85,4.563946728447323
86,4.890665960171863
87,5.184148201907961
88,5.434531941496161
89,5.58125729368594
90,5.860727908275617
91,6.137246087182734
92,6.391799841216436
93,6.8156242600195265
94,7.172624294325862
95,7.461583494645498
96,7.780222316555458
97,8.124021474648577
98,8.493123932019866
99,8.876680472238556
100,9.265814012319458
101,9.630895000962079
102,9.968144454238686
103,10.224689028960736
104,10.43340804689176
105,10.64214616055289
106,10.81355721400159
107,10.838515368984513
108,10.727054072870857
109,10.521103897284439
110,10.298383603580941
111,10.149319147970713
112,10.072154499874001
113,10.018844895308979
114,9.976735897928425
115,9.934134076593233
116,9.888162111598497
117,9.846207540423663
118,9.820721823287972
119,9.773178015445877
120,9.707242796555278
121,9.632343993912146
122,9.57254858072585
123,9.532938584842336
124,9.494620846315467
125,9.461116791439107
126,9.451089618214219
127,9.449400225763513
128,9.467732753042757
129,9.518280189572579
