val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,2,8,15,14,1,17,3,19,16,0,9.50+-7.47
stop signs:,7,22,29,20,12,19,12,22,38,9,19.00+-9.56
