val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,5,11,3,0,1,2,1,6,7,27,6.30+-8.01
stop signs:,25,49,11,10,14,13,15,17,53,43,25.00+-16.78
