val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,2,5,12,11,18,13,18,13,11,6,10.90+-5.26
stop signs:,15,13,45,21,135,47,138,58,47,18,53.70+-46.43
