val:,num,num.1,num.2,num.3,num.4,num.5,num.6,num.7,num.8,num.9,mean+-std
pedestrians:,0,1,4,0,1,4,0,3,1,2,1.60+-1.58
stop signs:,58,161,57,57,63,60,14,20,16,65,57.10+-41.93
